User1,User2,Action
SamSeaborn,SamSeaborn,Tweet
Nearleft,Nearleft,Tweet
Nearleft,SamSeaborn,Retweet
funder,funder,Tweet
sweetsallysue,sweetsallysue,Tweet
sweetsallysue,funder,Retweet
lylasbitch,lylasbitch,Tweet
MaiGabriela95,MaiGabriela95,Tweet
MaiGabriela95,lylasbitch,Retweet
TimRunsHisMouth,TimRunsHisMouth,Tweet
prisc2017,prisc2017,Tweet
prisc2017,TimRunsHisMouth,Retweet
ericuman,ericuman,Tweet
karpinski6321,karpinski6321,Tweet
karpinski6321,ericuman,Retweet
washingtonpost,washingtonpost,Tweet
calport,calport,Tweet
calport,washingtonpost,Retweet
Khanoisseur,Khanoisseur,Tweet
Khanoisseur,Khanoisseur,Reply
jrevans1963,jrevans1963,Tweet
jrevans1963,Khanoisseur,Retweet
ChrisCrocker,ChrisCrocker,Tweet
badboyleslie1,badboyleslie1,Tweet
badboyleslie1,ChrisCrocker,Retweet
DamienFahey,DamienFahey,Tweet
venokiafern,venokiafern,Tweet
venokiafern,DamienFahey,Retweet
venokiafern,Adele,Mention
ChaBoyJFranimal,ChaBoyJFranimal,Tweet
WrightFamily201,WrightFamily201,Tweet
WrightFamily201,ChaBoyJFranimal,Retweet
learner101,learner101,Tweet
learner101,TomiLahren,Reply
AviRudofsky,AviRudofsky,Tweet
AviRudofsky,learner101,Retweet
AviRudofsky,TomiLahren,Mention
TheWrap,TheWrap,Tweet
gunsmithannie,gunsmithannie,Tweet
gunsmithannie,TheWrap,Retweet
immigrant4trump,immigrant4trump,Tweet
slipmoon16,slipmoon16,Tweet
slipmoon16,immigrant4trump,Retweet
slipmoon16,terrymendozer,Mention
TurtleWoman777,TurtleWoman777,Tweet
julli_g,julli_g,Tweet
julli_g,TurtleWoman777,Retweet
McJesse,McJesse,Tweet
winteryears,winteryears,Tweet
winteryears,McJesse,Retweet
RichBarnett,RichBarnett,Tweet
RichBarnett,vdare,Reply
funder,funder,Tweet
snw106,snw106,Tweet
snw106,funder,Retweet
cher,cher,Tweet
cellaruve25,cellaruve25,Tweet
cellaruve25,cher,Retweet
TeaPainUSA,TeaPainUSA,Tweet
gphumber,gphumber,Tweet
gphumber,TeaPainUSA,Retweet
SapiensRealis,SapiensRealis,Tweet
AnnWinsborn,AnnWinsborn,Tweet
AnnWinsborn,SapiensRealis,Retweet
pbump,pbump,Tweet
mcassara143,mcassara143,Tweet
mcassara143,pbump,Retweet
catrlvn,catrlvn,Tweet
catrlvn,MalcolmNance,Reply
Rbekkah911,Rbekkah911,Tweet
Rbekkah911,catrlvn,Retweet
Rbekkah911,MalcolmNance,Mention
Rbekkah911,washingtonpost,Mention
RealRandomHero,RealRandomHero,Tweet
BPratto,BPratto,Tweet
BPratto,RealRandomHero,Retweet
democracynow,democracynow,Tweet
DanteRussell30,DanteRussell30,Tweet
DanteRussell30,democracynow,Retweet
DanteRussell30,VinceWarren,Mention
mattyglesias,mattyglesias,Tweet
