User1,User2,Action
CherylRofer,CherylRofer,Reply
sasyecat,sasyecat,Tweet
sasyecat,CherylRofer,Retweet
monicakeipp,monicakeipp,Tweet
funder,funder,Tweet
rgaudet99,rgaudet99,Tweet
rgaudet99,funder,Retweet
McJesse,McJesse,Tweet
s0Jada,s0Jada,Tweet
s0Jada,McJesse,Retweet
KeithOlbermann,KeithOlbermann,Tweet
lafleur64,lafleur64,Tweet
lafleur64,KeithOlbermann,Retweet
lafleur64,realDonaldTrump,Mention
thehill,thehill,Tweet
familyoso,familyoso,Tweet
familyoso,thehill,Retweet
cathie_lagrange,cathie_lagrange,Tweet
cathie_lagrange,nia4_trump,Reply
cathie_lagrange,KNP2BP,Mention
saul42,saul42,Tweet
ArtistLibrarian,ArtistLibrarian,Tweet
McJesse,McJesse,Tweet
Shadow30096,Shadow30096,Tweet
Shadow30096,McJesse,Retweet
jakeshween,jakeshween,Tweet
asmith83,asmith83,Tweet
LorraineJDion,LorraineJDion,Tweet
LorraineJDion,asmith83,Retweet
razorjoey_joe,razorjoey_joe,Tweet
razorjoey_joe,Gillzzzy36,Reply
McJesse,McJesse,Tweet
huntsman_blick,huntsman_blick,Tweet
huntsman_blick,McJesse,Retweet
PrivacyDigest,PrivacyDigest,Tweet
fiftycal125,fiftycal125,Tweet
fiftycal125,PrivacyDigest,Retweet
billboard,billboard,Tweet
ahsyluim,ahsyluim,Tweet
ahsyluim,billboard,Retweet
Newsweek,Newsweek,Tweet
WhatCopsThink,WhatCopsThink,Tweet
WhatCopsThink,Newsweek,Retweet
abctweet100,abctweet100,Tweet
CHURCHLADY320,CHURCHLADY320,Tweet
CHURCHLADY320,abctweet100,Retweet
McJesse,McJesse,Tweet
alexxandraaa4,alexxandraaa4,Tweet
alexxandraaa4,McJesse,Retweet
WestWingReport,WestWingReport,Tweet
DeirdreFord19,DeirdreFord19,Tweet
DeirdreFord19,WestWingReport,Retweet
MPlummer89,MPlummer89,Tweet
MelinaCopper,MelinaCopper,Tweet
MelinaCopper,MPlummer89,Retweet
funder,funder,Tweet
MorganAuCourant,MorganAuCourant,Tweet
MorganAuCourant,funder,Retweet
CharlesMBlow,CharlesMBlow,Tweet
mcguffindavid,mcguffindavid,Tweet
mcguffindavid,CharlesMBlow,Retweet
funder,funder,Tweet
DecemberStar63,DecemberStar63,Tweet
DecemberStar63,funder,Retweet
RoguePOTUSStaff,RoguePOTUSStaff,Tweet
dghomes27,dghomes27,Tweet
dghomes27,RoguePOTUSStaff,Retweet
dghomes27,verge,Mention
Rini_breezy,Rini_breezy,Tweet
aishaishuman,aishaishuman,Tweet
aishaishuman,Rini_breezy,Retweet
bambi__eyes__,bambi__eyes__,Tweet
laurenacooley,laurenacooley,Tweet
patchypa,patchypa,Tweet
patchypa,laurenacooley,Retweet
patchypa,BreitbartNews,Mention
TrumpsRockin,TrumpsRockin,Tweet
TrumpsRockin,ChrisCuomo,Reply
TrumpsRockin,BigDog6723,Mention
jmsexton_,jmsexton_,Tweet
MerileeEaton,MerileeEaton,Tweet
MerileeEaton,jmsexton_,Retweet
MerileeEaton,commondreams,Mention
Alex_Panetta,Alex_Panetta,Tweet
jasonfekete,jasonfekete,Tweet
jasonfekete,Alex_Panetta,Retweet
DiaPerfectoFM,DiaPerfectoFM,Tweet
pbump,pbump,Tweet
mojokex,mojokex,Tweet
mojokex,pbump,Retweet
Jan20th2021,Jan20th2021,Tweet
MiseryESJ,MiseryESJ,Tweet
MiseryESJ,Jan20th2021,Retweet
Veteran4Trump,Veteran4Trump,Tweet
cccfinley,cccfinley,Tweet
cccfinley,Veteran4Trump,Retweet
RogueNASA,RogueNASA,Tweet
Igorean,Igorean,Tweet
Igorean,RogueNASA,Retweet
HG_Hollmann,HG_Hollmann,Tweet
HG_Hollmann,InaRuck,Reply
komonews,komonews,Tweet
bayaningpinay,bayaningpinay,Tweet
bayaningpinay,komonews,Retweet
Gop42016,Gop42016,Tweet
radleybalko,radleybalko,Tweet
crosby2323,crosby2323,Tweet
crosby2323,radleybalko,Retweet
zangbill1,zangbill1,Tweet
zangbill1,Nigel_Farage,Reply
zangbill1,realDonaldTrump,Mention
SheriffClarke,SheriffClarke,Tweet
antoinette2645,antoinette2645,Tweet
antoinette2645,SheriffClarke,Retweet
wolfgangfaustX,wolfgangfaustX,Tweet
wolfgangfaustX,nia4_trump,Reply
blueruby8,blueruby8,Tweet
blueruby8,wolfgangfaustX,Retweet
blueruby8,nia4_trump,Mention
davebernstein,davebernstein,Tweet
davebernstein,davebernstein,Reply
VictoriaCerulli,VictoriaCerulli,Tweet
VictoriaCerulli,davebernstein,Retweet
RoseCarlington,RoseCarlington,Tweet
mattyglesias,mattyglesias,Tweet
bobpayneNOLA,bobpayneNOLA,Tweet
bobpayneNOLA,mattyglesias,Retweet
MrDane1982,MrDane1982,Tweet
maddie142519,maddie142519,Tweet
maddie142519,MrDane1982,Retweet
mikandynothem,mikandynothem,Tweet
carrieksada,carrieksada,Tweet
carrieksada,mikandynothem,Retweet
carrieksada,Joy_Villa,Mention
McJesse,McJesse,Tweet
zoe_korns,zoe_korns,Tweet
zoe_korns,McJesse,Retweet
matthew_d_green,matthew_d_green,Tweet
goddre,goddre,Tweet
goddre,matthew_d_green,Retweet
redpenguin01,redpenguin01,Tweet
redpenguin01,redpenguin01,Reply
redpenguin01,evmarsab,Mention
PalmerReport,PalmerReport,Tweet
bloodtribeelect,bloodtribeelect,Tweet
bloodtribeelect,PalmerReport,Retweet
Ishitwasnotso,Ishitwasnotso,Tweet
Iildevil,Iildevil,Tweet
SosaGalLeoo,SosaGalLeoo,Tweet
SosaGalLeoo,Iildevil,Retweet
BeauWillimon,BeauWillimon,Tweet
69softboys,69softboys,Tweet
69softboys,BeauWillimon,Retweet
69softboys,GOP,Mention
goldengateblond,goldengateblond,Tweet
Justin_Sprague_,Justin_Sprague_,Tweet
Justin_Sprague_,goldengateblond,Retweet
ashleyfeinberg,ashleyfeinberg,Tweet
edk_42,edk_42,Tweet
edk_42,ashleyfeinberg,Retweet
Kazi_France,Kazi_France,Tweet
InternetHippo,InternetHippo,Tweet
kaseydilIa,kaseydilIa,Tweet
kaseydilIa,InternetHippo,Retweet
CherylRofer,CherylRofer,Tweet
CherylRofer,CherylRofer,Reply
Snorkelgangsta1,Snorkelgangsta1,Tweet
Snorkelgangsta1,CherylRofer,Retweet
RealJack,RealJack,Tweet
MarySWheeler,MarySWheeler,Tweet
MarySWheeler,RealJack,Retweet
USAncestors1636,USAncestors1636,Tweet
TinaKnyc,TinaKnyc,Tweet
TinaKnyc,USAncestors1636,Retweet
DolarToday,DolarToday,Tweet
nicolevarelam,nicolevarelam,Tweet
nicolevarelam,DolarToday,Retweet
DeplorableDoog,DeplorableDoog,Tweet
DeplorableDoog,mskristinawong,Reply
DeplorableDoog,AnnCoulter,Mention
CharlesMBlow,CharlesMBlow,Tweet
jyoungmcconnell,jyoungmcconnell,Tweet
jyoungmcconnell,CharlesMBlow,Retweet
KeithOlbermann,KeithOlbermann,Tweet
JustJane207,JustJane207,Tweet
JustJane207,KeithOlbermann,Retweet
JustJane207,realDonaldTrump,Mention
submergingmkt,submergingmkt,Tweet
marymjoneil,marymjoneil,Tweet
marymjoneil,submergingmkt,Retweet
mikandynothem,mikandynothem,Tweet
art196048,art196048,Tweet
art196048,mikandynothem,Retweet
art196048,Joy_Villa,Mention
ReturnofaNobody,ReturnofaNobody,Tweet
kledys,kledys,Tweet
BluegillRises,BluegillRises,Tweet
joecipjr,joecipjr,Tweet
joecipjr,BluegillRises,Retweet
ChiBDM,ChiBDM,Tweet
virgipega99,virgipega99,Tweet
mattyglesias,mattyglesias,Tweet
psdean,psdean,Tweet
psdean,mattyglesias,Retweet
ChadJamesSpeaks,ChadJamesSpeaks,Tweet
az_garden2007,az_garden2007,Tweet
az_garden2007,ChadJamesSpeaks,Retweet
Green_Footballs,Green_Footballs,Tweet
LimeriTweets,LimeriTweets,Tweet
LimeriTweets,Green_Footballs,Retweet
funder,funder,Tweet
Amyk6801,Amyk6801,Tweet
Amyk6801,funder,Retweet
ShursToday,ShursToday,Tweet
URAFRAUD1,URAFRAUD1,Tweet
URAFRAUD1,GartrellLinda,Reply
URAFRAUD1,AnnaApp91838450,Mention
URAFRAUD1,GOP,Mention
URAFRAUD1,POTUS,Mention
URAFRAUD1,NancyPelosi,Mention
PamMartella,PamMartella,Tweet
PamMartella,Impeach_D_Trump,Reply
PamMartella,ginaholt15,Mention
PamMartella,CNN,Mention
wingiovanna,wingiovanna,Tweet
wingiovanna,wingiovanna,Reply
limusinas_cc,limusinas_cc,Tweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
dinaboliver,dinaboliver,Tweet
dinaboliver,BraddJaffy,Retweet
szerenata,szerenata,Tweet
rebot2009,rebot2009,Tweet
rebot2009,szerenata,Retweet
IAMForeverIAM1,IAMForeverIAM1,Tweet
NationB4Party,NationB4Party,Tweet
wikileaks,wikileaks,Tweet
IBumbybee,IBumbybee,Tweet
IBumbybee,wikileaks,Retweet
Rosie,Rosie,Tweet
herrick_a,herrick_a,Tweet
herrick_a,Rosie,Retweet
McJesse,McJesse,Tweet
DaLighterBrotha,DaLighterBrotha,Tweet
DaLighterBrotha,McJesse,Retweet
Impeach_D_Trump,Impeach_D_Trump,Tweet
kathysgallery,kathysgallery,Tweet
kathysgallery,Impeach_D_Trump,Retweet
kathysgallery,realDonaldTrump,Mention
TimBuntley,TimBuntley,Tweet
TimBuntley,kfc,Mention
Xaniatube,Xaniatube,Tweet
latinaafortrump,latinaafortrump,Tweet
teamrope,teamrope,Tweet
teamrope,latinaafortrump,Retweet
christinamrusso,christinamrusso,Tweet
ctriplett17,ctriplett17,Tweet
ctriplett17,christinamrusso,Retweet
ctriplett17,genebaur,Mention
ctriplett17,USDA,Mention
Foro_TV,Foro_TV,Tweet
lorenaebb,lorenaebb,Tweet
lorenaebb,Foro_TV,Retweet
lorenaebb,Medium,Mention
BrazenWrds,BrazenWrds,Tweet
BrazenWrds,SierraClubTN,Mention
BrazenWrds,SierraMidTN,Mention
_KatyMyFirework,_KatyMyFirework,Tweet
KaioGMggt,KaioGMggt,Tweet
KaioGMggt,_KatyMyFirework,Retweet
altusda,altusda,Tweet
PoorSapAdvocate,PoorSapAdvocate,Tweet
PoorSapAdvocate,altusda,Retweet
CharlesMBlow,CharlesMBlow,Tweet
jdudemill,jdudemill,Tweet
jdudemill,CharlesMBlow,Retweet
McJesse,McJesse,Tweet
lizzyyisreal,lizzyyisreal,Tweet
lizzyyisreal,McJesse,Retweet
deIiveryboy,deIiveryboy,Tweet
sugaryeun,sugaryeun,Tweet
sugaryeun,deIiveryboy,Retweet
brianklaas,brianklaas,Tweet
LaGranya,LaGranya,Tweet
LaGranya,brianklaas,Retweet
kochbuster52,kochbuster52,Tweet
kochbuster52,kylegriffin1,Reply
LewHastings,LewHastings,Tweet
EnterateVillavo,EnterateVillavo,Tweet
darthvanner,darthvanner,Tweet
proudcabeyo97,proudcabeyo97,Tweet
proudcabeyo97,darthvanner,Retweet
McJesse,McJesse,Tweet
DavidDJPearl,DavidDJPearl,Tweet
DavidDJPearl,McJesse,Retweet
qualitypunk,qualitypunk,Tweet
TRUMPPOWER1,TRUMPPOWER1,Tweet
Playongo,Playongo,Tweet
Playongo,TRUMPPOWER1,Retweet
matthew_d_green,matthew_d_green,Tweet
tzegani,tzegani,Tweet
tzegani,matthew_d_green,Retweet
Crutnacker,Crutnacker,Tweet
don_rhoten,don_rhoten,Tweet
don_rhoten,Crutnacker,Retweet
TimRunsHisMouth,TimRunsHisMouth,Tweet
Caunotaucarius,Caunotaucarius,Tweet
Caunotaucarius,TimRunsHisMouth,Retweet
Sebmeister,Sebmeister,Tweet
bracken_gossett,bracken_gossett,Tweet
pbump,pbump,Tweet
datagoodies,datagoodies,Tweet
datagoodies,pbump,Retweet
McJesse,McJesse,Tweet
rogchris63,rogchris63,Tweet
rogchris63,McJesse,Retweet
McJesse,McJesse,Tweet
shortywith40z,shortywith40z,Tweet
shortywith40z,McJesse,Retweet
TheBpDShow,TheBpDShow,Tweet
Fixer_guy,Fixer_guy,Tweet
Fixer_guy,TheBpDShow,Retweet
JINCHURIKl,JINCHURIKl,Tweet
Queennihilist,Queennihilist,Tweet
Queennihilist,JINCHURIKl,Retweet
lilchelso_,lilchelso_,Tweet
Thats_Nickk,Thats_Nickk,Tweet
Thats_Nickk,lilchelso_,Retweet
da13thsun,da13thsun,Tweet
bey_sirius,bey_sirius,Tweet
bey_sirius,da13thsun,Retweet
BlakeDontCrack,BlakeDontCrack,Tweet
BlakeDontCrack,BlakeDontCrack,Reply
Thomas_A_Moore,Thomas_A_Moore,Tweet
LIEUney_tunes,LIEUney_tunes,Tweet
LIEUney_tunes,Thomas_A_Moore,Retweet
JJohnson2u,JJohnson2u,Tweet
lindsayrda53,lindsayrda53,Tweet
lindsayrda53,JJohnson2u,Retweet
ashleyfeinberg,ashleyfeinberg,Tweet
locobedoya,locobedoya,Tweet
locobedoya,ashleyfeinberg,Retweet
ashrburrows,ashrburrows,Tweet
sayinitsam,sayinitsam,Tweet
sayinitsam,YouTube,Mention
sayinitsam,realDonaldTrump,Mention
protestrump,protestrump,Tweet
StopBigMoney,StopBigMoney,Tweet
topazkat,topazkat,Tweet
topazkat,StopBigMoney,Retweet
JamieHaskell88,JamieHaskell88,Tweet
JamieHaskell88,RobertFife,Reply
JamieHaskell88,globeandmail,Mention
LucaZaggatii,LucaZaggatii,Tweet
LucaZaggatii,cher,Reply
RoxyNurbi,RoxyNurbi,Tweet
Tonyramon24,Tonyramon24,Tweet
Tonyramon24,Tonyramon24,Tweet
Tonyramon24,Tonyramon24,Retweet
distinctivebby,distinctivebby,Tweet
Lisanicole08,Lisanicole08,Tweet
Leticia17922167,Leticia17922167,Tweet
Leticia17922167,Lisanicole08,Retweet
peggyaleman,peggyaleman,Tweet
NylPerez,NylPerez,Tweet
NylPerez,julioastillero,Mention
CBCKatie,CBCKatie,Tweet
Vote_4America,Vote_4America,Tweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
incognito1922,incognito1922,Tweet
incognito1922,BraddJaffy,Retweet
K1erry,K1erry,Tweet
destiny_113,destiny_113,Tweet
destiny_113,K1erry,Retweet
RealRandomHero,RealRandomHero,Tweet
frank_pitts,frank_pitts,Tweet
frank_pitts,RealRandomHero,Retweet
FilamGop,FilamGop,Tweet
McJesse,McJesse,Tweet
christinafoleyy,christinafoleyy,Tweet
christinafoleyy,McJesse,Retweet
tafurel,tafurel,Tweet
thehill,thehill,Tweet
anniemihalo,anniemihalo,Tweet
anniemihalo,thehill,Retweet
thehill,thehill,Tweet
joycegarcia,joycegarcia,Tweet
joycegarcia,thehill,Retweet
20committee,20committee,Tweet
rainaftersno,rainaftersno,Tweet
rainaftersno,20committee,Retweet
vicenews,vicenews,Tweet
Airavta,Airavta,Tweet
Airavta,vicenews,Retweet
nytimes,nytimes,Tweet
SaraA3234,SaraA3234,Tweet
SaraA3234,nytimes,Retweet
monsterwolfgan,monsterwolfgan,Tweet
monsterwolfgan,USATODAY,Reply
monsterwolfgan,pattonoswalt,Mention
nia4_trump,nia4_trump,Tweet
Michael67166063,Michael67166063,Tweet
Michael67166063,nia4_trump,Retweet
softwarnet,softwarnet,Tweet
Eyes_of_justice,Eyes_of_justice,Tweet
Eyes_of_justice,softwarnet,Retweet
NRDC,NRDC,Tweet
gloria_garrett,gloria_garrett,Tweet
gloria_garrett,NRDC,Retweet
brianklaas,brianklaas,Tweet
NicAndrews,NicAndrews,Tweet
NicAndrews,brianklaas,Retweet
TrumpSuperPAC,TrumpSuperPAC,Tweet
yvette_dorian,yvette_dorian,Tweet
yvette_dorian,TrumpSuperPAC,Retweet
yvette_dorian,Joy_Villa,Mention
NewsRevoltRyan,NewsRevoltRyan,Tweet
EugeneZborovsky,EugeneZborovsky,Tweet
EugeneZborovsky,NewsRevoltRyan,Retweet
funder,funder,Tweet
stshinn,stshinn,Tweet
stshinn,funder,Retweet
stshinn,paulmcgeough,Mention
sandiegonewz,sandiegonewz,Tweet
Compman67,Compman67,Tweet
FoxNews,FoxNews,Tweet
kmaverick1111,kmaverick1111,Tweet
kmaverick1111,FoxNews,Retweet
BradMossEsq,BradMossEsq,Tweet
WilliamsWrite,WilliamsWrite,Tweet
WilliamsWrite,BradMossEsq,Retweet
EntheosShines,EntheosShines,Tweet
EntheosShines,EntheosShines,Reply
kindseller,kindseller,Tweet
kindseller,EntheosShines,Retweet
2020fight,2020fight,Tweet
brandonlancast2,brandonlancast2,Tweet
brandonlancast2,2020fight,Retweet
CharlesMBlow,CharlesMBlow,Tweet
dcmathisTN,dcmathisTN,Tweet
dcmathisTN,CharlesMBlow,Retweet
AnimalPaintings,AnimalPaintings,Tweet
immigrant4trump,immigrant4trump,Tweet
rickh7777,rickh7777,Tweet
rickh7777,immigrant4trump,Retweet
rickh7777,Joy_Villa,Mention
AltNatParkSer,AltNatParkSer,Tweet
LaaksoLisa,LaaksoLisa,Tweet
LaaksoLisa,AltNatParkSer,Retweet
baseballcrank,baseballcrank,Tweet
mharry860,mharry860,Tweet
mharry860,baseballcrank,Retweet
deIiveryboy,deIiveryboy,Tweet
Walkerguts,Walkerguts,Tweet
Walkerguts,deIiveryboy,Retweet
HinaShamsi,HinaShamsi,Tweet
SyedAmirou,SyedAmirou,Tweet
SyedAmirou,HinaShamsi,Retweet
trendingstream,trendingstream,Tweet
nacion,nacion,Tweet
chris50bn,chris50bn,Tweet
chris50bn,nacion,Retweet
RichForrest2,RichForrest2,Tweet
lesleyanne12,lesleyanne12,Tweet
lesleyanne12,RichForrest2,Retweet
thor_benson,thor_benson,Tweet
marcylauren,marcylauren,Tweet
marcylauren,thor_benson,Retweet
Milenio,Milenio,Tweet
azuldulce14,azuldulce14,Tweet
azuldulce14,Milenio,Retweet
ed_hooley,ed_hooley,Tweet
f77a9c24c7f9451,f77a9c24c7f9451,Tweet
f77a9c24c7f9451,ed_hooley,Retweet
Independent,Independent,Tweet
NevvaH8n,NevvaH8n,Tweet
NevvaH8n,Independent,Retweet
thehill,thehill,Tweet
vagrantcow,vagrantcow,Tweet
vagrantcow,thehill,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
WendyVerran,WendyVerran,Tweet
WendyVerran,BraddJaffy,Retweet
ChumelTorres,ChumelTorres,Tweet
luciiernaga,luciiernaga,Tweet
luciiernaga,ChumelTorres,Retweet
chadyoung,chadyoung,Tweet
ericuman,ericuman,Tweet
Cairo1001,Cairo1001,Tweet
Cairo1001,ericuman,Retweet
SenSanders,SenSanders,Tweet
yoshicircuit69,yoshicircuit69,Tweet
yoshicircuit69,SenSanders,Retweet
KTLA,KTLA,Tweet
CarmanBam,CarmanBam,Tweet
CarmanBam,KTLA,Retweet
funder,funder,Tweet
Esskaz123,Esskaz123,Tweet
Esskaz123,funder,Retweet
Esskaz123,paulmcgeough,Mention
thehill,thehill,Tweet
VerbalWordsmyth,VerbalWordsmyth,Tweet
VerbalWordsmyth,thehill,Retweet
cparham65,cparham65,Tweet
cparham65,lynmacjay,Reply
cparham65,cparham65,Tweet
cparham65,cparham65,Retweet
cparham65,lynmacjay,Mention
mattyglesias,mattyglesias,Tweet
brynbehr,brynbehr,Tweet
brynbehr,mattyglesias,Retweet
The_Trump_Train,The_Trump_Train,Tweet
MaryCha56524744,MaryCha56524744,Tweet
MaryCha56524744,The_Trump_Train,Retweet
KTLA,KTLA,Tweet
yvonne_boo,yvonne_boo,Tweet
yvonne_boo,KTLA,Retweet
thehill,thehill,Tweet
Fighter182,Fighter182,Tweet
Fighter182,thehill,Retweet
McJesse,McJesse,Tweet
kickrocks_petey,kickrocks_petey,Tweet
kickrocks_petey,McJesse,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
TheRealMrB,TheRealMrB,Tweet
TheRealMrB,BraddJaffy,Retweet
john_n_holly,john_n_holly,Tweet
john_n_holly,realDonaldTrump,Mention
nowthisnews,nowthisnews,Tweet
Muh_Sadam,Muh_Sadam,Tweet
Muh_Sadam,nowthisnews,Retweet
dabeard,dabeard,Tweet
RobiVitali_,RobiVitali_,Tweet
RobiVitali_,dabeard,Retweet
nia4_trump,nia4_trump,Tweet
gramie47,gramie47,Tweet
gramie47,nia4_trump,Retweet
NRDC,NRDC,Tweet
Anonomouse1981,Anonomouse1981,Tweet
Anonomouse1981,NRDC,Retweet
Anonomouse1981,Gizmodo,Mention
SenSanders,SenSanders,Tweet
JNewton918,JNewton918,Tweet
JNewton918,SenSanders,Retweet
NPR,NPR,Tweet
heathereppsfl,heathereppsfl,Tweet
heathereppsfl,NPR,Retweet
ericgarland,ericgarland,Tweet
CorlessHanson,CorlessHanson,Tweet
CorlessHanson,ericgarland,Retweet
VesseyKristine,VesseyKristine,Tweet
maniaci_ej,maniaci_ej,Tweet
maniaci_ej,VesseyKristine,Retweet
2ALAW,2ALAW,Tweet
jgianfalla1,jgianfalla1,Tweet
jgianfalla1,2ALAW,Retweet
jgianfalla1,IvankaTrump,Mention
AdrianaStuijt,AdrianaStuijt,Tweet
AdrianaStuijt,DonHackenberry1,Reply
Brendag38323989,Brendag38323989,Tweet
Brendag38323989,AdrianaStuijt,Retweet
Brendag38323989,DonHackenberry1,Mention
Brendag38323989,Cernovich,Mention
Toure,Toure,Tweet
LouieMopardude7,LouieMopardude7,Tweet
LouieMopardude7,Toure,Retweet
danpfeiffer,danpfeiffer,Tweet
dgleick,dgleick,Tweet
dgleick,danpfeiffer,Retweet
I_AM_Trump4,I_AM_Trump4,Tweet
gizzmeow69,gizzmeow69,Tweet
gizzmeow69,I_AM_Trump4,Retweet
calebbielskii,calebbielskii,Tweet
kyndallspams,kyndallspams,Tweet
kyndallspams,calebbielskii,Retweet
thehill,thehill,Tweet
ashleychan83,ashleychan83,Tweet
ashleychan83,thehill,Retweet
McJesse,McJesse,Tweet
ingee,ingee,Tweet
ingee,McJesse,Retweet
Briefing__Room,Briefing__Room,Tweet
KevinDarryl,KevinDarryl,Tweet
MessBusterAK,MessBusterAK,Tweet
MessBusterAK,KevinDarryl,Retweet
MessBusterAK,HuffPostCanada,Mention
RicardoAlemanMx,RicardoAlemanMx,Tweet
banuet_rma,banuet_rma,Tweet
banuet_rma,RicardoAlemanMx,Retweet
matthew_d_green,matthew_d_green,Tweet
drmdunn1,drmdunn1,Tweet
drmdunn1,matthew_d_green,Retweet
RealJack,RealJack,Tweet
punchaginger,punchaginger,Tweet
punchaginger,RealJack,Retweet
SophiaMillerC,SophiaMillerC,Tweet
Jakeistheman,Jakeistheman,Tweet
Jakeistheman,SophiaMillerC,Retweet
SimonWDC,SimonWDC,Tweet
SimonWDC,SimonWDC,Reply
Cynthia66767366,Cynthia66767366,Tweet
Cynthia66767366,SimonWDC,Retweet
InsanitysReign,InsanitysReign,Tweet
RantingsOfMine,RantingsOfMine,Tweet
RantingsOfMine,InsanitysReign,Retweet
RantingsOfMine,AMCTalkingDead,Mention
RantingsOfMine,WalkingDead_AMC,Mention
RobertNBCLA,RobertNBCLA,Tweet
sstuart2016,sstuart2016,Tweet
sstuart2016,RobertNBCLA,Retweet
sstuart2016,realDonaldTrump,Mention
Veteran4Trump,Veteran4Trump,Tweet
beachbum452,beachbum452,Tweet
beachbum452,Veteran4Trump,Retweet
MechanicalBaba,MechanicalBaba,Tweet
20committee,20committee,Tweet
therealzanetta,therealzanetta,Tweet
therealzanetta,20committee,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
pj5ullivan,pj5ullivan,Tweet
pj5ullivan,BraddJaffy,Retweet
WayAllDay,WayAllDay,Tweet
VoyageToBisa,VoyageToBisa,Tweet
VoyageToBisa,WayAllDay,Retweet
WestWingReport,WestWingReport,Tweet
TrumpAVClub,TrumpAVClub,Tweet
TrumpAVClub,WestWingReport,Retweet
AoDespair,AoDespair,Tweet
stmida74,stmida74,Tweet
stmida74,AoDespair,Retweet
SouthLoneStar,SouthLoneStar,Tweet
RoseMaryTBA,RoseMaryTBA,Tweet
RoseMaryTBA,SouthLoneStar,Retweet
funder,funder,Tweet
Violet_Boregard,Violet_Boregard,Tweet
Violet_Boregard,funder,Retweet
McJesse,McJesse,Tweet
A_Rock_83,A_Rock_83,Tweet
A_Rock_83,McJesse,Retweet
SenSanders,SenSanders,Tweet
AlexMonteiro93,AlexMonteiro93,Tweet
AlexMonteiro93,SenSanders,Retweet
pbump,pbump,Tweet
sassyemmy3,sassyemmy3,Tweet
sassyemmy3,pbump,Retweet
dailyfn,dailyfn,Tweet
MaElenaMorera,MaElenaMorera,Tweet
juliopl21,juliopl21,Tweet
juliopl21,MaElenaMorera,Retweet
juliopl21,Pajaropolitico,Mention
WestWingReport,WestWingReport,Tweet
NshvilleSeahawk,NshvilleSeahawk,Tweet
NshvilleSeahawk,WestWingReport,Retweet
SophiaMillerC,SophiaMillerC,Tweet
Meacheal1,Meacheal1,Tweet
Meacheal1,SophiaMillerC,Retweet
paulmcleary,paulmcleary,Tweet
GreenEyedYankee,GreenEyedYankee,Tweet
GreenEyedYankee,paulmcleary,Retweet
ChumelTorres,ChumelTorres,Tweet
semicursi,semicursi,Tweet
semicursi,ChumelTorres,Retweet
funder,funder,Tweet
BlueVotr,BlueVotr,Tweet
BlueVotr,funder,Retweet
Variety,Variety,Tweet
Josserrato2,Josserrato2,Tweet
Josserrato2,Variety,Retweet
benshapiro,benshapiro,Tweet
mackkat415,mackkat415,Tweet
mackkat415,benshapiro,Retweet
McJesse,McJesse,Tweet
hugstrouble,hugstrouble,Tweet
hugstrouble,McJesse,Retweet
immigrant4trump,immigrant4trump,Tweet
JordanTheBuckle,JordanTheBuckle,Tweet
JordanTheBuckle,immigrant4trump,Retweet
JordanTheBuckle,Joy_Villa,Mention
skinnypresident,skinnypresident,Tweet
DimitriousGart2,DimitriousGart2,Tweet
ezejensen,ezejensen,Tweet
ezejensen,DimitriousGart2,Retweet
Bipartisanism,Bipartisanism,Tweet
Snoww__Whiteee,Snoww__Whiteee,Tweet
Snoww__Whiteee,Bipartisanism,Retweet
AdamsFlaFan,AdamsFlaFan,Tweet
debmdebm,debmdebm,Tweet
debmdebm,AdamsFlaFan,Retweet
funder,funder,Tweet
AngryLogician,AngryLogician,Tweet
AngryLogician,funder,Retweet
LouiseMensch,LouiseMensch,Tweet
ruivelosomx,ruivelosomx,Tweet
ruivelosomx,LouiseMensch,Retweet
ItsMumbles,ItsMumbles,Tweet
ItsMumbles,realDonaldTrump,Reply
elhigadodmarita,elhigadodmarita,Tweet
car_alb_pg,car_alb_pg,Tweet
car_alb_pg,elhigadodmarita,Retweet
Smokyjo1,Smokyjo1,Tweet
Smokyjo1,YouTube,Mention
sersan1000,sersan1000,Tweet
funder,funder,Tweet
PatriciaRGilbr1,PatriciaRGilbr1,Tweet
PatriciaRGilbr1,funder,Retweet
KeithOlbermann,KeithOlbermann,Tweet
TeresaM78412187,TeresaM78412187,Tweet
TeresaM78412187,KeithOlbermann,Retweet
TeresaM78412187,realDonaldTrump,Mention
CurrencyCharts,CurrencyCharts,Tweet
politico,politico,Tweet
AlmeidaUio,AlmeidaUio,Tweet
AlmeidaUio,politico,Retweet
AlmeidaUio,SenSchumer,Mention
PoopCrimeRave,PoopCrimeRave,Tweet
PoopCrimeRave,MSNBC,Reply
PoopCrimeRave,NBCNews,Mention
realDonaldTrump,realDonaldTrump,Tweet
toombstone,toombstone,Tweet
toombstone,realDonaldTrump,Retweet
deIiveryboy,deIiveryboy,Tweet
laurengermen,laurengermen,Tweet
laurengermen,deIiveryboy,Retweet
mitchellvii,mitchellvii,Tweet
