Word,Frequency,Topic
//t.co/fmq2th5m1m,1.09655138,
relatablequote,1.066758763,
//t.co/eniwjqht7c,1.066758763,
kardashianreact,1.031989614,
//t.co/na1sxfziop,1.031989614,
pro-immigrant,1.022169701,
anheuser-busch,1.022169701,
//t.co/fxdyzruwcd,1.022169701,
‘mostly,,
’,,
anncoulter,1.022169701,
somexlcan,1.020588529,
//t.co/rckkv81rvs,1.020588529,
//t.co/xguiga…,,
shows,1.016327686,
legally,1.016327686,
flashhazard,1.016327686,
entering,1.016327686,
end,1.011434373,
//t…,,
🤔,,
ajplus,1.011434373,
//t.co/v57odvjbrl,1.01001964,
—,,
aired,1.01001964,
eberhard,1.00925402,
//t.co/…,,
anheuser,1.00925402,
meets,1.00925402,
cnn,1.00925402,
bdomenech,1.00624147,
lie,1.00624147,
//t.co/dxtu8ebpmq,1.00624147,
rollingstone,1.003878033,
//…,,
threatening,1.003878033,
idiots.…,,
r.,1.003828102,
c.,1.003828102,
unregistering,1.003828102,
rayderman,1.003828102,
b,1.003828102,
//t.co/5jy4x0tv2n,1.00339536,
barstoolsports,1.00339536,
//t.co/blx7…,,
sidewalks,1.002829466,
akilahobviously,1.002829466,
vomiting,1.002829466,
idiots,1.002829466,
oppose,1.002829466,
o…,,
education…,,
oxminaox,1.002646383,
betsydevos,1.002646383,
republicans,1.002646383,
important,1.002646383,
brought,1.002446656,
tear,1.002446656,
theboydp,1.002446656,
you’ve,,
eye,1.002446656,
never,1.002446656,
streets,1.001947339,
echok,1.001947339,
jerk,1.001947339,
dimejibabalola,1.001730968,
smh,1.001730968,
y'all,1.001730968,
conservative…,,
mikd33,1.001031923,
beautifully,1.00093206,
highlighted,1.00093206,
🍻🍻🍻,,
fusion,1.00093206,
boycottbudw…,,
led,1.00093206,
try,1.000882128,
white,1.000882128,
angry,1.000882128,
andrewlseidel,1.000882128,
som…,,
immigrated,1.000882128,
//t.co/m9i6q8ekby,1.00084884,
maggietranquila,1.00084884,
babbyanimal,1.000798908,
//t.co/xanlxf189g,1.000798908,
small,1.000699045,
'anti-globalist,1.000699045,
encouraging,1.000699045,
consumers,1.000699045,
brewer,1.000699045,
//t.co/nxb2sjsl…,,
samantharae49,1.000665757,
macpowell,1.000615825,
far,1.000615825,
mostly,1.000549249,
poor,1.000549249,
gartrelllinda,1.000549249,
flops,1.000549249,
htt…,,
propaganda,1.000549249,
apparently,1.000266303,
cultofdusty,1.000266303,
trumpters,1.000266303,
agency,1.000249659,
jason,1.000249659,
cofounder,1.000249659,
meet,1.000249659,
anomaly,1.000249659,
deland,1.000249659,
'98,1.000249659,
//t.co/anuyjnphxg,1.000249659,
alum,1.000249659,
ithacacollege,1.000249659,
grandchild,1.000216371,
great-great-great,1.000216371,
selling,1.000216371,
sequel,1.000216371,
flight,1.000216371,
joerobinow,1.000216371,
taking,1.000216371,
//t.co/skzam6q2ek,1.000199727,
//t.co/lknjeidx9b,1.000199727,
fake,1.000199727,
rsashe_the_don,1.000199727,
confused,1.000183083,
resnikoff,1.000183083,
todd_j,1.000183083,
worse,1.000183083,
//t.co/x8whed…,,
budweiserboycott,1.000166439,
iavaiiente,1.000149795,
greateras1,1.00008322,
cws_global,1.00008322,
showing,1.00008322,
//t.co/mzrk4bc2s4,1.00008322,
truestory,1.000066576,
foun…,,
founding,1.000066576,
patrickmconnor,1.000066576,
conservaction1,1.000066576,
knapsack,1.000066576,
tymceachern,1.000066576,
//t.co/50mo4exd4b,1.000066576,
'just,1.000066576,
wsvn,1.000066576,
rotted,1.000066576,
perfect,1.000066576,
leather,1.000066576,
//t.co/pc6zkwxxxj,1.000066576,
sometimes,1.000066576,
ronjohn1982,1.000066576,
timwerth,1.000066576,
//t.co/xrlqc4xtbe,1.000066576,
mercenarygeo,1.000049932,
edbaker3000,1.000049932,
cbinflux,1.000049932,
//t.co/y0ibayqqby,1.000049932,
stophillary01,1.000049932,
nfl,1.000049932,
conservnationa,1.000033288,
oneus,1.000033288,
fyi,1.000033288,
//t.co/ycnshyu64s,1.000033288,
