id,Brand,created_at,favorite_count,retweet_count,text
828451046829727744,ford,Mon Feb 06 03:51:36 +0000 2017,1,2,This Ford commercial is all of us throughout the week #Mondaysarerough #TGIF #Fordtough https://t.co/CFlVfWrOw6
828451046779387904,ford,Mon Feb 06 03:51:36 +0000 2017,0,0,@BryanCranston I realize you said 00:00 but I have to be up for work. It was the Ford commercial. Even Walt caught some breaks. 😉
828450873424519168,ford,Mon Feb 06 03:50:54 +0000 2017,0,0,@Ford I'm not sure 2017 is the best year to use a civil rights anthem in a car commercial... 😐https://t.co/taLB95bWnv
828450853140901888,ford,Mon Feb 06 03:50:49 +0000 2017,0,0,@BryanCranston How about the Ford  commercial?!
828450849961701376,ford,Mon Feb 06 03:50:49 +0000 2017,1,0,@GarmanSports The Ford commercial at the beginning was pretty good. Not many funny ones. No Doritos or Mt Dew.
828450849961701376,ford,Mon Feb 06 03:50:49 +0000 2017,1,0,@GarmanSports The Ford commercial at the beginning was pretty good. Not many funny ones. No Doritos or Mt Dew.
828450717924945920,ford,Mon Feb 06 03:50:17 +0000 2017,0,0,"@BryanCranston Ford ""Go Further"" commercial"
828450715374931969,ford,Mon Feb 06 03:50:17 +0000 2017,0,0,"Didn't watch many commercials, but....The Ford commercial was my fav. Looking for a tissue box now for the cat 😈"
828450508784463872,ford,Mon Feb 06 03:49:27 +0000 2017,0,0,"@mariahh_ann ford commercial was like the first, the ""no one likes getting stuck.""  Budweiser in the middle, the story of how they started."
828450505957322752,ford,Mon Feb 06 03:49:27 +0000 2017,1,0,"As much as Ford sucks, their commercial was probably the best this year"
828450489041879041,ford,Mon Feb 06 03:49:23 +0000 2017,0,0,@OSUTK2006 @Ford The @Audi commercial made me cry! I'm not turning down any cars though and the Fusion is working out just fine for me.
828450367390285825,ford,Mon Feb 06 03:48:54 +0000 2017,0,0,"Wonder how many d-loaded N. Simone's ""I Wish I Knew How It Would Feel To Be Free"" after great SB Ford commercial?  https://t.co/Q5fJZ3vgmC"
828450356040495104,ford,Mon Feb 06 03:48:51 +0000 2017,1,0,"Thanks @Ford - great commercial &amp;  song! 🎼
#SuperBowl17 🏈
#SuperBowlCommercial ♫ https://t.co/xhH8tuW0Vp"
828450334984986624,ford,Mon Feb 06 03:48:46 +0000 2017,0,1,RT @GenErickson: The Ford commercial where everyone gets stuck is the absolute best😂 #strugglebus
828450308737097728,ford,Mon Feb 06 03:48:40 +0000 2017,0,72,RT @KohnenUSA: Anyone else see the great sport of wrestling in that Ford Super Bowl commercial?!
828450028473704450,ford,Mon Feb 06 03:47:33 +0000 2017,0,4,RT @teachermrw: Did #Ford appropriate a Nina Simone song re: civil rights for a  #SuperBowl commercial? https://t.co/ZfktMMzJPe
828450011822358528,ford,Mon Feb 06 03:47:29 +0000 2017,0,0,Wrestling is part of Ford's Super Bowl commercial https://t.co/VRy8jNQ4vn
828449883040444417,ford,Mon Feb 06 03:46:58 +0000 2017,5,0,anyway ford using i wish i knew how it would feel to be free in their dumb commercial makes me want to set a small building on fire
828449869455036416,ford,Mon Feb 06 03:46:55 +0000 2017,0,0,@NickWilson923 I wanna know why that poor guy is still stuck on the water in the ford commercial
828449836563329024,ford,Mon Feb 06 03:46:47 +0000 2017,1,0,My favorite commercial was the ford commercial because I can relate to some of the situations that were presented #mrsaenvisci
828449748218761216,ford,Mon Feb 06 03:46:26 +0000 2017,0,2,RT @FeoChin: The real winner tonight? Whoever picked that Nina Simone song for that Ford commercial. #SuperBowl #Resist
828449703998214144,ford,Mon Feb 06 03:46:15 +0000 2017,0,3,RT @AtlanticCraft: Ford commercial was pretty good! The best? Not sure
828449642253684736,ford,Mon Feb 06 03:46:01 +0000 2017,11,1,Best thing about watching the SuperBowl was finding a Nina Simone gem in a Ford commercial.
828449637476532225,ford,Mon Feb 06 03:46:00 +0000 2017,1,0,Lighthearted fun commercial from @Ford #SB51 #SuperBowlAds #KelloggSB https://t.co/ftAIPEtTWn Via @MarshaCollier
828449567771336704,ford,Mon Feb 06 03:45:43 +0000 2017,0,0,@Audi has the worst A-hole advertisement team. I am definitely not buying an Audi after that garbage commercial. Buying a @Ford or @GM
828449448946724865,ford,Mon Feb 06 03:45:15 +0000 2017,9,0,I still want to know what happened to the guy stranded on the ski lift in the Ford commercial...
828449385772118016,ford,Mon Feb 06 03:45:00 +0000 2017,0,0,the first commercial for ford was so fuckin weird like it went from a kid trying to get a shirt off of his head to ford promotion like???
828449326514978816,ford,Mon Feb 06 03:44:45 +0000 2017,0,3,RT @AbZurdity: Everyone in the @Ford commercial got free except the cat with the tissue box on its head. I'm still worried about that cat.
828449280352362496,ford,Mon Feb 06 03:44:34 +0000 2017,0,41,RT @MarshaCollier: Lighthearted fun commercial from @Ford #SB51 #SuperBowlAds #KelloggSB https://t.co/3SqaH9D98y
828449053675433984,ford,Mon Feb 06 03:43:40 +0000 2017,0,0,"Ford commercial: 10 miles to Las Cruces Inn? Hey, that's me! Except... ocean? https://t.co/4bJrTyi9D9"
828449027490471936,ford,Mon Feb 06 03:43:34 +0000 2017,0,0,Only 1 in Ford commercial who remained stuck was the guy in the boat. Do you get the moral? 😆😆😆
828449003201191936,ford,Mon Feb 06 03:43:28 +0000 2017,0,0,@BryanCranston superbowl 2017 ford commercial
